date,open,highest,lowest,close,volume
2024-01-05 21:28:00+00:00,180.89,180.89,180.88,180.88,1051
2024-01-05 21:29:00+00:00,180.89,180.89,180.89,180.89,499
2024-01-05 21:32:00+00:00,180.88,180.88,180.86,180.86,530
2024-01-05 21:33:00+00:00,180.8601,180.8601,180.86,180.86,678
2024-01-05 21:34:00+00:00,180.86,180.86,180.81,180.81,1359
2024-01-05 21:36:00+00:00,180.85,180.85,180.84,180.84,694
2024-01-05 21:37:00+00:00,180.84,180.86,180.84,180.86,1131
2024-01-05 21:38:00+00:00,180.86,180.86,180.84,180.84,2205
2024-01-05 21:39:00+00:00,180.83,180.83,180.8,180.8,3178
2024-01-05 21:40:00+00:00,180.81,180.81,180.81,180.81,185
2024-01-05 21:42:00+00:00,180.84,180.85,180.84,180.85,3046
2024-01-05 21:43:00+00:00,180.87,181.18,180.87,181.18,22526
